Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Monday 06 August,10:59 ➜ 19:31,8h32, 1 change,€175.00
Outbound: Paris ➜ Barcelona,Monday 06 August,13:00 ➜ 06:15,17h15, 1 change,€63.98
Outbound: Paris ➜ Barcelona,Monday 06 August,14:00 ➜ 10:15,20h15, 1 change,€88.00
Outbound: Paris ➜ Barcelona,Monday 06 August,14:07 ➜ 20:34,6h27, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Monday 06 August,14:30 ➜ 05:45,15h15, 0 changes,€90.00
Outbound: Paris ➜ Barcelona,Monday 06 August,15:20 ➜ 07:55,16h35, 1 change,€77.98
Outbound: Paris ➜ Barcelona,Monday 06 August,16:07 ➜ 22:44,6h37, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,07:13 ➜ 13:34,6h21, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,07:15 ➜ 19:31,12h16, 1 change,€138.99
Outbound: Paris ➜ Barcelona,Tuesday 07 August,09:00 ➜ 09:45,24h45, 1 change,€112.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,10:00 ➜ 09:45,23h45, 2 changes,€99.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,10:07 ➜ 16:34,6h27, 0 changes,€184.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,10:59 ➜ 19:31,8h32, 1 change,€171.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,13:00 ➜ 06:15,17h15, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Tuesday 07 August,13:00 ➜ 10:15,21h15, 1 change,€83.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,14:07 ➜ 20:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,14:30 ➜ 05:45,15h15, 0 changes,€90.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,15:00 ➜ 07:55,16h55, 1 change,€77.98
Outbound: Paris ➜ Barcelona,Tuesday 07 August,15:30 ➜ 02:05,34h35, 2 changes,€109.00
Outbound: Paris ➜ Barcelona,Tuesday 07 August,16:07 ➜ 22:44,6h37, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,07:15 ➜ 13:34,6h19, 0 changes,€154.00
Outbound: Paris ➜ Barcelona,Wednesday 08 August,07:15 ➜ 19:31,12h16, 1 change,€139.99
